Wavelength,400 nm,442 nm,500 nm,550 nm,550 nm (2),600 nm,650 nm,700 nm,Large chequerboard (white1),Large chequerboard (white2),Large chequerboard (black1),Large chequerboard (black2),Printer paper (white),Printer paper (toner),dark skin,light skin,blue sky,foliage,blue flower,bluish green,orange,purplish blue,moderate red,purple,yellow green,orange yellow,blue,green,red,yellow,magenta,cyan,white 9.5 (.05 D),neutral 8 (.23 D),neutral 6.5 (.44 D),neutral 5 (.70 D),neutral 3.5 (1.05 D),black 2 (1.5 D),Optoma EP739 90 s after taking white reference,Optoma EP739 just after taking white reference,"400 nm, in wood holder","442 nm, hand-held",Small chequerboard (white1),Small chequerboard (white2),Small chequerboard (black1),Small chequerboard (black2)
350,0.012006,0.202521,0.030923,0.037982,0.034565,0.026981,0.010054,0.004401,0.131138,0.133418,0.057875,0.049696,0.378116,0.051132,0.056402,0.11599,0.100236,0.052475,0.092889,0.108385,0.07396,0.086177,0.094526,0.067565,0.080742,0.092309,0.0814,0.065907,0.069753,0.099984,0.095642,0.09757,0.169593,0.125857,0.096412,0.089113,0.054498,0.038676,0.978553,0.987635,0.007525,0.189766,0.108734,0.096416,0.044293,0.042193
351,0.006814,0.198581,0.029542,0.046754,0.037488,0.02757,0.004919,0.002351,0.126806,0.126347,0.057661,0.048028,0.367785,0.047265,0.056057,0.114395,0.099399,0.050933,0.093365,0.105279,0.072413,0.086316,0.092461,0.0634,0.077644,0.089291,0.079579,0.06617,0.068659,0.10086,0.095702,0.099515,0.163845,0.124269,0.094184,0.087011,0.055061,0.037388,0.98668,1.001778,0.000002,0.197243,0.100274,0.090485,0.041679,0.040011
352,0.002598,0.195544,0.028295,0.04901,0.040013,0.025354,0.005265,0.004721,0.123859,0.121629,0.057463,0.048154,0.362227,0.043924,0.058463,0.115914,0.099594,0.051555,0.091968,0.106265,0.072805,0.08849,0.092655,0.064981,0.078364,0.08975,0.080916,0.068676,0.068875,0.099757,0.095675,0.102353,0.160785,0.121955,0.094801,0.087593,0.056175,0.039113,0.993275,1.003893,0.000002,0.196557,0.095786,0.088634,0.041725,0.039387
353,0.000385,0.194261,0.027017,0.046275,0.040607,0.021129,0.008694,0.009492,0.121452,0.118769,0.057281,0.049578,0.359881,0.041739,0.06175,0.118606,0.100079,0.052906,0.089676,0.109122,0.073747,0.091045,0.093712,0.069425,0.080876,0.091599,0.083647,0.071391,0.069511,0.097212,0.095081,0.104592,0.159282,0.119204,0.096493,0.089451,0.057324,0.041811,0.997649,0.997689,0.000002,0.19107,0.09384,0.088812,0.043416,0.039987
354,0.007001,0.200602,0.025028,0.046616,0.028791,0.017781,0.00313,0.007838,0.116426,0.117287,0.057057,0.051794,0.356326,0.044175,0.058849,0.115559,0.097785,0.049142,0.089634,0.106503,0.069585,0.087241,0.090386,0.067099,0.078427,0.08673,0.081596,0.065556,0.066959,0.09372,0.090854,0.099201,0.155581,0.116409,0.092683,0.087516,0.056339,0.037338,0.996027,1.00264,0.000002,0.197717,0.090089,0.083886,0.04426,0.041878
355,0.011669,0.206571,0.024455,0.045227,0.032954,0.023435,0.004951,0.014028,0.11233,0.113365,0.057878,0.051575,0.352302,0.043759,0.057669,0.112812,0.096183,0.049858,0.08816,0.105187,0.06629,0.085626,0.088848,0.06685,0.076073,0.083867,0.078923,0.063848,0.06512,0.091001,0.088114,0.096858,0.151126,0.113366,0.090948,0.086641,0.054928,0.035905,0.984239,1.00248,0.005193,0.203995,0.086937,0.080271,0.044664,0.041589
356,0.014233,0.211185,0.028879,0.04622,0.043362,0.031004,0.008444,0.02056,0.109447,0.109224,0.058887,0.051046,0.348776,0.043394,0.056842,0.111251,0.095448,0.051825,0.086932,0.104262,0.065093,0.085474,0.089214,0.067156,0.074207,0.082555,0.077026,0.064855,0.064133,0.089284,0.087158,0.096809,0.147666,0.111307,0.090352,0.086091,0.054195,0.036361,0.975482,1.003796,0.00968,0.20885,0.084898,0.077994,0.044444,0.04078
357,0.013452,0.212648,0.04587,0.056245,0.051416,0.032778,0.007344,0.018274,0.108657,0.106947,0.059318,0.052277,0.346849,0.046182,0.055021,0.112338,0.09617,0.052401,0.087778,0.102881,0.068334,0.086769,0.092649,0.066702,0.073364,0.083025,0.077669,0.068586,0.064524,0.089208,0.089178,0.099465,0.147336,0.111915,0.090447,0.085208,0.055632,0.038513,0.988002,1.015933,0.004249,0.210366,0.085075,0.077755,0.043045,0.040891
358,0.007106,0.201022,0.032943,0.051425,0.037487,0.024011,0.002858,0.007957,0.106557,0.105876,0.05878,0.05182,0.345162,0.044308,0.057946,0.113455,0.098201,0.053229,0.088358,0.104213,0.067462,0.086795,0.092818,0.069566,0.073594,0.0822,0.080601,0.068827,0.064282,0.087971,0.090426,0.099877,0.1464,0.112929,0.09158,0.085905,0.055572,0.03946,0.986381,1.009538,0.000002,0.205829,0.083364,0.075183,0.044505,0.041469
359,0.004793,0.19829,0.022611,0.047423,0.029639,0.020536,0.004061,0.004167,0.104099,0.104105,0.058129,0.051129,0.343637,0.043213,0.059723,0.11356,0.099121,0.052965,0.088443,0.10514,0.064791,0.086582,0.092737,0.072111,0.073658,0.081282,0.08126,0.067369,0.063214,0.086894,0.08984,0.099302,0.144667,0.112611,0.092225,0.086792,0.055972,0.039164,0.988126,1.003269,0.000002,0.202697,0.080993,0.07228,0.045374,0.042012
