Wavelength,400 nm,442 nm,500 nm,550 nm,600 nm,650 nm,700 nm,Large chequerboard (white),Large chequerboard (black),Printer paper (white),Printer paper (toner),dark skin,light skin,blue sky,foliage,blue flower,bluish green,orange,purplish blue,moderate red,purple,yellow green,orange yellow,blue,green,red,yellow,magenta,cyan,white 9.5 (.05 D),neutral 8 (.23 D),neutral 6.5 (.44 D),neutral 5 (.70 D),neutral 3.5 (1.05 D),black 2 (1.5 D),Small chequerboard (white),Small chequerboard (black)
1277,0.601327,0.977322,0.045778,0.0850545,0.561033,0.510827,0.922366,0.9772875,0.051242,0.974333,0.07417,0.285446,0.921018,0.417427,0.245568,0.920466,0.958431,0.74705,0.973329,0.723997,0.652537,0.762937,0.886949,0.906827,0.759295,0.802703,0.956994,0.923088,0.545391,1.041698,0.680608,0.34447,0.147064,0.075147,0.046468,0.9174735,0.0597225
1278,0.479928,1.022331,0.016155,0.197689,0.681771,0.904276,0.944433,0.977459,0.05119,0.974402,0.074187,0.285564,0.921026,0.417431,0.245729,0.920532,0.958401,0.747085,0.973248,0.724042,0.65271,0.762974,0.88688,0.90681,0.759351,0.802687,0.956897,0.9231,0.545288,1.041557,0.680681,0.34435,0.147018,0.075093,0.046495,0.917668,0.0597355
1279,0.485672,0.613418,0.036492,0.202774,0.208749,0.833713,0.579332,0.977538,0.0511625,0.974592,0.074196,0.285766,0.921155,0.417467,0.245708,0.920663,0.958381,0.747093,0.973131,0.724117,0.652963,0.763061,0.886937,0.906918,0.759506,0.802769,0.956843,0.923284,0.545281,1.041602,0.680842,0.344263,0.146944,0.075105,0.04657,0.9177355,0.0596935
1280,0.443636,0.511937,0.045967,0.210825,0.021951,0.728461,0.212244,0.9777515,0.051144,0.974756,0.074205,0.285972,0.921185,0.417466,0.24572,0.920666,0.958309,0.747164,0.972996,0.724167,0.653106,0.763123,0.886959,0.906968,0.759605,0.802823,0.956776,0.923375,0.545296,1.041545,0.680872,0.344171,0.146872,0.075155,0.046574,0.917947,0.0596655
1281,0.378183,0.593312,0.137819,0.278298,0.167359,0.911456,0.129703,0.9782445,0.0511535,0.974831,0.074298,0.286172,0.921228,0.417396,0.245922,0.920523,0.958175,0.747256,0.972969,0.724206,0.653064,0.763124,0.886957,0.906945,0.759721,0.802798,0.956667,0.923345,0.545363,1.041366,0.680774,0.344182,0.146792,0.075247,0.046485,0.918451,0.0596365
1282,0.264068,0.634266,0.208005,0.333223,0.362784,0.950756,0.112183,0.978643,0.051175,0.974918,0.074371,0.28632,0.921306,0.417345,0.246151,0.920487,0.958076,0.747374,0.973038,0.72426,0.653105,0.763204,0.887066,0.906996,0.759872,0.802797,0.956626,0.923368,0.545433,1.041288,0.680753,0.34425,0.146722,0.075288,0.046427,0.9189185,0.05962
1283,0.302439,0.535866,0.113837,0.309986,0.80911,0.777658,0.311821,0.9788175,0.0511615,0.97504,0.074442,0.286413,0.921399,0.417346,0.246311,0.920628,0.957969,0.747571,0.973283,0.724398,0.653365,0.763398,0.887391,0.907313,0.760009,0.802989,0.956741,0.923472,0.545434,1.041311,0.680841,0.344316,0.146656,0.075145,0.046514,0.919216,0.059705
1284,0.44616,0.368107,0.03102,0.2814325,1.237297,0.689472,0.549999,0.9790055,0.0511395,0.975227,0.074511,0.286532,0.921498,0.417344,0.246445,0.920741,0.957863,0.74778,0.973495,0.724535,0.653578,0.763574,0.887643,0.907639,0.760145,0.803176,0.956839,0.923553,0.545424,1.04131,0.680904,0.34434,0.146569,0.075037,0.046605,0.9194915,0.0597765
1285,0.63406,0.144471,0.071559,0.2829655,0.929233,0.536006,0.391665,0.979176,0.0511535,0.97562,0.074504,0.286637,0.921422,0.41726,0.24651,0.920689,0.957867,0.7479,0.973528,0.724549,0.653727,0.763724,0.887597,0.907615,0.760243,0.803241,0.956832,0.923533,0.545363,1.041417,0.680846,0.344432,0.146427,0.075089,0.046532,0.9197315,0.0598105
1286,0.71943,0.001204,0.086541,0.2614865,0.690081,0.336799,0.224429,0.979302,0.051191,0.975977,0.074524,0.28674,0.921359,0.41718,0.24657,0.920649,0.957909,0.74799,0.973556,0.724553,0.653924,0.763865,0.887582,0.907552,0.760353,0.803323,0.95684,0.923538,0.545304,1.041569,0.680816,0.344557,0.146302,0.07512,0.046461,0.9199515,0.059854
